row_name,logConc,logFC,pVal.Tgw,adj.pVal.Tgw,Tgw.Disp,UpDown.Tgw,B29,B30,B31,B32,LO2,LO3,LO4,LO5
gene2062,3.852804065,11.87403751,1.84E-29,5.99E-28,0.088810996,1,5955,1686,3729,11109,6671,8322,7132,3320
gene2598,-3.228126857,8.661484751,1.86E-29,6.02E-28,0.062776991,-1,8828,2482,4337,22290,85,79,88,38
gene3097,-2.69387028,8.035358183,1.91E-29,6.11E-28,0.043289429,-1,4753,1357,3447,14198.25,86,47,88,45
gene659,2.977964075,11.15406744,1.93E-29,6.11E-28,0.057455637,1,5363,1697,4161,14134,5251,3134,5516,1980
gene1980,2.931967903,8.689560492,2.20E-29,6.93E-28,0.055494354,1,1400,274,602,2784,888,554,771,518
gene2937,3.515894261,9.650331542,2.32E-29,7.26E-28,0.076307518,1,1690,500,815,2983,2434,781,1503,1033
gene1721,3.29441857,8.189883276,2.45E-29,7.58E-28,0.067239311,1,907,115,341,1650,517,371,659,428
gene1186,-4.084055038,6.586127985,2.70E-29,8.30E-28,0.077232279,-1,2131,578,1098,5305,9,12,14,4
gene3240,3.400266896,7.382471982,2.94E-29,8.97E-28,0.069825407,1,226,71,273,1117,388,160,521,182
gene2052,-3.159731657,8.543010656,4.06E-29,1.23E-27,0.060877097,-1,7824,2054,4643,20414,104,41,72,62
gene1033,3.501791591,12.8413975,1.17E-28,3.50E-27,0.078099387,1,13149,3923,11770,21659,15941,10672,14365,9113
gene3862,-3.985181968,6.434628287,1.18E-28,3.51E-27,0.075143191,-1,1473,509,1248,4843,16,7,10,5
gene2055,-3.421216241,7.335333858,1.36E-28,4.01E-27,0.065275815,-1,2960,1045,2496,6510,44,16,24,19
gene1005,3.137296591,10.39806868,1.59E-28,4.66E-27,0.064939826,1,3362,918,2177,6483,3413,1949,3019,1128
gene2629,4.900870091,9.536040459,1.78E-28,5.19E-27,0.133685556,1,304,124,323,2497,3074,596,1722,659
gene2079,4.34141257,10.50358871,2.05E-28,5.93E-27,0.111731673,1,1446,459,960,4286,1766,3706,2639,1473
gene3499,4.422086494,11.06466756,2.07E-28,5.93E-27,0.115091087,1,2738,465,1973,3066,8095,2463,4196,1858
gene775,-4.195522723,6.537993704,2.21E-28,6.28E-27,0.08125583,-1,1784,559,1134,5581,6,9,11,8
gene2800,5.724010412,14.20333252,2.82E-28,7.97E-27,0.170815928,1,4875,3431,6755.48,9942.36,71719.7,31525.96,36884.94,9848.79
gene2075,4.15686281,10.41840432,2.85E-28,7.98E-27,0.104900613,1,2930,280,965,3117,4080,1634,3644,1185
gene1737,3.473594748,12.87783744,2.95E-28,8.21E-27,0.078217414,1,20178,3556,9044,24720,12916,11987,16863,9127
gene2049,-2.931347144,7.832400317,3.03E-28,8.37E-27,0.051548167,-1,4146,1335,2809,12331,55,45,50,40
gene2822,-4.374217734,6.396185569,3.65E-28,1.00E-26,0.09019295,-1,1549,496,1030,5436,14,2,8,5
gene2025,4.015843717,6.835848571,4.96E-28,1.35E-26,0.094496935,1,120,45,140,326,162,126,374,179
gene1271,-3.502835838,6.862721846,5.21E-28,1.41E-26,0.066517454,-1,2194,546,1410,8175,25,16,23,7
gene3362,3.884110499,14.39920732,8.50E-28,2.28E-26,0.095753303,1,36336,8476,25513,45817.99,70993,29392,40873,18770
gene2827,-2.744956983,7.329967712,1.15E-27,3.07E-26,0.045542543,-1,3238,860,1749,9068,57,30,51,21
