gene2026,GO:0043022
gene2025,GO:0006412
gene2024,GO:0048500
gene2023,GO:0020037
gene2022,GO:0050660
gene2021,GO:0043768
gene2020,GO:0016874
gene2029,GO:0051539
gene2028,GO:0006412
gene3316,GO:0006810
gene3317,GO:0016887
gene2159,GO:0016021
gene2158,GO:0006355
gene3312,GO:0043115
gene3313,GO:0004252
gene3310,GO:0071555
gene2153,GO:0016491
gene2151,GO:0046872
gene2150,GO:0019563
gene2157,GO:0042597
gene2156,GO:0046872
gene2155,GO:0006098
gene1444,GO:0004176
gene3790,GO:0016021
gene3791,GO:0043565
gene3796,GO:0009058
gene3797,GO:0016740
gene1442,GO:0006351
gene3795,GO:0051213
gene1448,GO:0016301
gene1449,GO:0016301
gene3179,GO:0016491
gene3172,GO:0020037
gene3173,GO:0016746
gene3170,GO:0016020
gene3171,GO:0008270
gene3174,GO:0003824
gene3175,GO:0016624
gene3778,GO:0030246
gene3770,GO:0016787
gene3771,GO:0020037
gene3772,GO:0051537
gene3773,GO:0022904
gene3774,GO:0016021
gene479,GO:0044209
gene3776,GO:0071555
gene3777,GO:0097175
gene3200,GO:0043565
gene49,GO:0006268
gene48,GO:0006749
gene3201,GO:0042925
gene45,GO:0004177
gene47,GO:0005887
gene989,GO:0022904
gene41,GO:0005525
gene40,GO:0042597
gene43,GO:0008080
gene42,GO:0008408
gene3481,GO:0016491
gene3205,GO:0016021
gene2333,GO:0046933
gene61,GO:0018160
gene2332,GO:0016787
gene3756,GO:0005727
gene600,GO:0034639
gene2837,GO:0016021
gene2831,GO:0043953
gene2336,GO:0046933
gene2443,GO:0051287
gene603,GO:0019867
gene69,GO:0016888
gene3751,GO:0005727
gene39,GO:0008168
gene609,GO:0055085
gene1934,GO:0006541
gene1936,GO:0051536
gene1937,GO:0047429
gene1931,GO:0005506
gene1932,GO:0051539
gene1933,GO:0008176
gene2940,GO:0008026
gene2942,GO:0016021
gene2944,GO:0016020
gene2945,GO:0016020
gene2947,GO:0006355
gene2949,GO:0016787
gene1848,GO:0043165
gene1849,GO:0030246
gene1338,GO:0043190
gene1339,GO:0009916
gene3949,GO:0055114
gene3947,GO:0006782
gene1333,GO:0016021
gene1330,GO:0016021
gene1843,GO:0009401
gene1336,GO:0016021
gene1845,GO:0016987
gene1334,GO:0006351
gene1335,GO:0006810
gene299,GO:0015558
gene298,GO:0016462
gene293,GO:0016021
gene292,GO:0006355
gene743,GO:0030420
gene742,GO:0005524
gene745,GO:0009245
gene296,GO:0009318
gene747,GO:0033468
gene1700,GO:0016020
gene1525,GO:0051539
gene349,GO:0055129
gene348,GO:0055129
gene1208,GO:0016021
gene345,GO:0032265
gene344,GO:0016020
gene347,GO:0045893
gene1205,GO:0051536
gene341,GO:0005622
gene1203,GO:0010181
gene343,GO:0016787
gene1201,GO:0004252
gene1709,GO:0051539
gene1382,GO:0016301
gene903,GO:0097175
gene902,GO:0004180
gene901,GO:0042586
gene900,GO:0016020
gene907,GO:0019518
gene906,GO:0030170
gene909,GO:0006646
gene1148,GO:0008080
gene30,GO:0005525
